country_code,statistic,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CAF,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,47,23,47,47,47,47
CAF,Polio (Pol3) immunization coverage among 1-year-olds (%),13,11,14,16,17,20,19,22,42,61,82,64,45,46,46,51,47,44,45,36,38,40,42,44,45,47,47,46,46,45,46,47,47,23,47,47,47,47
TCD,BCG immunization coverage among 1-year-olds (%),,,,,8,15,24,32,38,59,59,40,34,34,43,43,39,45,45,45,49,52,46,40,41,41,56,44,30,46,58,52,62,60,58,70,59,59
TCD,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,,,8,10,19,14,13,11,56,60,65,43,49,47,43,39,37,48,60,61,61,60,60,58,60,60,60,43,50,60,75,75,78
TCD,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,4,3,8,13,14,20,20,18,10,12,18,18,20,24,29,34,30,26,31,36,31,37,49,38,30,32,43,40,51,46,44,52,44,44
CHL,BCG immunization coverage among 1-year-olds (%),96,96,94,92,95,96,96,97,98,97,94,99,99,97,99,97,99,92,92,95,93,98,96,95,95,95,98,98,99,95,95,91,92,98,98,93,97,96
CHL,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,96,96,95,95,89,89,84,77,74,78,88,89,87,90
CHL,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,82,79,92,90,92,93
CHL,Polio (Pol3) immunization coverage among 1-year-olds (%),93,99,99,89,99,99,90,93,96,95,95,94,90,90,94,94,91,90,90,95,91,96,97,96,94,92,94,95,95,94,92,93,90,90,95,96,95,93
CHN,BCG immunization coverage among 1-year-olds (%),,,,34,59,64,70,85,98,98,99,97,94,92,89,79,84,83,83,84,84,85,85,85,86,86,92,94,97,99,99,99,99,99,99,99,99,99
CHN,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,84,94,92,95,98,99,99,99,99,99,99,99,99
CHN,Polio (Pol3) immunization coverage among 1-year-olds (%),,,80,81,84,87,68,78,96,96,98,95,93,90,87,82,84,85,85,86,86,86,86,87,87,87,94,94,99,99,99,99,99,99,99,99,99,99
COL,BCG immunization coverage among 1-year-olds (%),45,57,65,79,69,76,70,80,99,94,95,95,88,96,99,99,99,97,85,80,91,87,87,97,92,94,96,93,93,90,84,83,89,85,89,90,88,91
COL,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,84,83,93,70,70,73,85,93,70,71,74,76,80,72,88,86,87,89
COL,Neonates protected at birth against neonatal tetanus (PAB) (%),3,6,7,7,7,8,8,8,24,41,45,57,59,61,62,64,65,66,67,69,70,71,72,73,76,77,77,78,78,78,79,79,79,79,85,85,85,95
COL,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,46,84,87,89,91,89,91
COL,Polio (Pol3) immunization coverage among 1-year-olds (%),16,22,27,42,68,62,53,82,94,90,93,91,84,92,87,87,87,85,75,77,82,83,83,92,89,93,94,93,92,92,88,85,91,91,90,91,91,92
COL,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,74,78,87,87,89,91,90,90
COM,BCG immunization coverage among 1-year-olds (%),,,,,56,77,97,97,72,95,99,71,81,95,94,95,55,55,84,87,90,90,90,79,79,80,84,77,81,80,76,78,79,85,90,94,94,94
COM,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,14,13,24,31,33,64,78,44,37,48,58,67,50,41,44,50,57,70,84,93,92,91,88,89,83,83,85,85,85,85,85,85,85,85
COM,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,32,53,73,73,44,78,94,55,46,70,58,78,60,48,75,73,70,70,98,80,73,67,69,75,81,84,82,85,85,85,87,92,92,94
COG,BCG immunization coverage among 1-year-olds (%),92,,91,90,80,89,86,87,88,90,90,89,75,63,61,58,51,29,34,39,50,53,51,60,85,73,84,86,93,90,95,95,92,92,95,85,80,76
COG,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,,60,44,47,43,60,76,77,70,71,73,80,62,62,63,67,67,69,79,74,75,81,82,82,82,83,83,83,83,85,85,85,85
COG,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,85,85,80,67,66
COG,Polio (Pol3) immunization coverage among 1-year-olds (%),42,42,48,53,59,73,71,71,71,79,80,74,67,60,55,50,47,21,25,29,31,32,41,50,67,62,73,71,77,76,72,72,68,85,90,80,71,69
COG,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,80,64,64
COK,BCG immunization coverage among 1-year-olds (%),29,44,59,74,60,99,87,89,90,94,99,96,94,94,99,96,90,85,98,97,99,98,98,99,99,99,99,99,99,99,99,98,98,98,99,99,99,99
COK,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,70,50,61,88,86,97,99,98,95,61,98,96,98,95,98,95,90,95
COK,Polio (Pol3) immunization coverage among 1-year-olds (%),39,48,57,47,96,91,82,82,94,89,83,87,87,99,86,93,75,93,93,92,92,90,97,95,99,99,99,99,99,82,99,93,98,98,99,99,99,99
CRI,BCG immunization coverage among 1-year-olds (%),80,81,81,83,86,82,79,83,86,89,92,81,94,98,94,99,92,82,87,89,92,87,91,87,90,88,87,91,90,81,77,78,78,79,80,83,89,90
CRI,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,84,79,80,95,92,90,90,87,93
CRI,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,94,68,89,94,83,94,94,96
CRI,Polio (Pol3) immunization coverage among 1-year-olds (%),86,85,80,86,94,88,87,92,87,86,95,90,91,88,88,86,85,97,85,84,80,92,94,88,90,91,89,89,89,80,93,82,90,95,91,92,97,96
HRV,BCG immunization coverage among 1-year-olds (%),,,,,,,,,,,,,92,98,98,99,99,98,97,96,98,97,99,98,98,98,99,99,99,99,98,99,99,99,98,98,99,98
HRV,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,98,98,98,98,98,98,98,98,98,98,98,97,97,97,96,96,95
HRV,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,85,86,87,90,91,92,93,93,94,94,95,95,96,96,96,96,96,96,97,96,96,96,95,94,93,92
CUB,BCG immunization coverage among 1-year-olds (%),99,97,97,96,97,98,98,96,99,98,98,98,98,97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
CUB,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,53,97,99,98,95,98,95,96,97,98,99,99,99
CUB,Polio (Pol3) immunization coverage among 1-year-olds (%),99,97,83,95,95,88,99,86,98,96,94,97,99,97,96,95,98,97,97,96,98,99,98,98,98,99,99,99,99,99,99,99,98,99,99,99,98,98
CYP,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,93,89,88,88,88,88,88,88,88,88,88
CYP,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,81,81
CYP,Polio (Pol3) immunization coverage among 1-year-olds (%),35,44,27,36,31,61,91,93,90,93,94,94,95,95,96,96,98,98,98,97,97,97,98,98,98,98,97,97,97,99,99,99,99,99,99,97,97,97
CZE,BCG immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,98,95,95,96,97,98,98,98,98,97,98,99,99,99,99,99,98,,,,,,,,
CZE,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,98,98,98,98,98,98,98,98,98,98,98,98,99,99,96,99,93,90
CZE,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,99,98,98,98,97,97,98,98,97,97,97,96,96,98,99,99,99,99,99,99,99,99,97,96,94
PRK,BCG immunization coverage among 1-year-olds (%),50,52,51,52,49,51,53,69,98,99,99,99,99,99,90,82,73,64,69,73,78,82,96,88,95,94,96,96,97,98,98,98,98,98,98,97,97,98
PRK,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,98,99,99,99,99,99,97,98,98
PRK,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,,,,,89,90,90,91,91,92,90,82,60,30,55,81,80,91,91,92,90,90,91,91,91,91,93,93,93,93,97,97,98
PRK,Polio (Pol3) immunization coverage among 1-year-olds (%),50,51,51,52,52,65,62,70,58,79,99,98,99,99,93,88,82,76,82,87,93,98,99,99,99,97,98,99,98,98,99,99,99,99,99,99,99,99
COD,BCG immunization coverage among 1-year-olds (%),57,61,62,65,62,57,51,57,59,55,65,21,32,43,46,34,25,25,25,30,57,43,50,61,68,72,72,80,78,85,85,66,83,83,78,74,80,80
COD,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,25,37,37,36,51,52,53,35,38,43,52,42,43,33,50,33,45,43,61,66,67,67,66,70,75,85,77,70,70,75,82,82,82,85
COD,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,13,31,61,73,77,79
COD,Polio (Pol3) immunization coverage among 1-year-olds (%),15,18,22,26,30,34,39,38,41,38,34,16,31,29,27,24,18,18,18,21,42,30,40,47,52,60,62,72,64,78,76,77,76,74,79,78,74,79
DNK,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,87,92,88,88,91,91,88,87,85,85,86,87,86,84,80,85,88
DNK,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,88,90,93,90,93,91,94,97
DNK,Polio (Pol3) immunization coverage among 1-year-olds (%),99,98,99,98,96,99,94,97,99,98,99,98,98,96,99,97,99,99,99,99,97,97,98,96,95,93,93,87,88,89,90,91,94,94,94,93,94,98
DJI,BCG immunization coverage among 1-year-olds (%),,,5,36,36,37,38,42,87,80,81,66,51,51,51,51,51,43,35,26,34,38,52,63,71,80,88,90,90,90,90,89,87,86,99,92,90,90
DJI,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,82,82,82,82,82
DJI,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,17,14,12,14,58,55,80,85,87,77,55,62,68,69,53,48,46,54,57,59,65,71,77,79,79,77,79,79,79,79,80,80,80,98
DJI,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,78,82,68,68
DJI,Polio (Pol3) immunization coverage among 1-year-olds (%),,,6,14,21,22,24,25,65,77,85,53,41,41,41,41,41,32,23,24,46,49,62,68,64,71,72,88,89,89,88,87,81,82,78,84,68,68
DJI,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,72,72
DMA,BCG immunization coverage among 1-year-olds (%),65,57,48,99,84,90,87,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,90,98,99,99,98,98,97,98,98,98,97
DMA,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,62,99,99,99,99,99,95,95,95,95,94,94,91,89,94,92,81
DMA,Polio (Pol3) immunization coverage among 1-year-olds (%),53,97,73,92,82,89,92,95,97,94,94,94,99,99,99,99,99,97,99,99,99,99,98,99,99,98,96,93,95,99,99,98,97,96,97,98,99,91
DOM,BCG immunization coverage among 1-year-olds (%),29,34,38,41,43,51,54,57,60,63,70,74,78,82,86,90,79,88,86,99,90,98,97,95,97,96,95,92,92,96,98,99,99,99,99,99,99,99
DOM,Neonates protected at birth against neonatal tetanus (PAB) (%),23,27,31,31,32,33,33,34,34,34,60,82,25,83,82,82,81,80,71,61,48,32,83,84,86,75,85,85,86,86,87,90,90,90,90,90,90,99
DOM,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,22,30,64
DOM,Polio (Pol3) immunization coverage among 1-year-olds (%),46,42,43,22,99,39,79,79,65,70,90,74,73,82,98,70,70,71,68,71,71,71,74,65,66,86,88,86,86,85,85,84,85,82,90,87,82,80
DOM,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,69,86,83,75,82
ECU,BCG immunization coverage among 1-year-olds (%),76,82,99,85,99,99,94,85,92,91,89,82,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,98,99,98,98,94,90,89,88,84,88
ECU,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,91,92,81,70,59,76,64,73
ECU,Neonates protected at birth against neonatal tetanus (PAB) (%),2,4,5,7,12,14,15,16,13,9,82,30,32,30,31,33,35,37,38,40,42,57,58,60,60,65,72,72,73,73,74,85,85,85,85,88,88,88
ECU,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,71,94,90,86,81,84,84
ECU,Polio (Pol3) immunization coverage among 1-year-olds (%),19,27,36,32,47,39,44,51,58,64,67,61,86,84,83,82,80,79,83,83,83,90,88,97,90,89,92,95,94,91,88,85,85,87,84,84,79,83
ECU,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,97,94,90,87,83,81,78,80,84
EGY,BCG immunization coverage among 1-year-olds (%),50,50,50,53,53,80,77,72,80,83,89,92,92,95,95,93,95,98,99,98,98,98,98,98,98,98,99,98,98,98,98,98,95,98,96,96,96,86
EGY,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,97,99,96,97,96,97,97,97,96,96,97,97,92,96,93,92,96,94
EGY,Neonates protected at birth against neonatal tetanus (PAB) (%),,9,13,11,7,7,7,7,68,67,74,75,75,80,74,76,71,74,74,77,80,80,81,82,85,85,86,85,85,85,86,86,86,86,86,86,80,86
EGY,Polio (Pol3) immunization coverage among 1-year-olds (%),67,67,67,67,78,84,89,82,89,90,87,86,89,89,91,90,91,94,95,97,98,99,97,98,97,98,98,98,97,97,97,96,93,97,94,93,95,94
SLV,BCG immunization coverage among 1-year-olds (%),56,47,46,48,22,50,51,55,56,62,75,67,62,79,82,99,98,95,99,99,99,92,92,91,94,84,93,99,99,99,96,95,90,90,85,99,87,83
SLV,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,77,80,85,89,86,79,82,78,81,95,85,85,88,87,86
SLV,Neonates protected at birth against neonatal tetanus (PAB) (%),23,22,26,25,25,26,27,27,28,28,37,46,55,59,63,67,71,74,77,80,83,85,87,90,93,92,91,87,87,87,88,88,90,90,90,90,90,92
SLV,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,98,94,92,86,98,90,87
SLV,Polio (Pol3) immunization coverage among 1-year-olds (%),42,38,42,20,30,54,51,57,63,64,80,61,61,79,89,94,94,97,99,92,98,94,81,93,90,89,96,99,98,91,89,90,93,92,93,92,95,95
SLV,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,25,78,83,62,90,90,93,92,96,93,93,84
GNQ,BCG immunization coverage among 1-year-olds (%),,,,,,28,30,40,49,49,94,95,97,98,99,99,99,99,99,73,73,73,72,72,72,72,72,72,71,71,71,66,66,64,56,48,59,63
GNQ,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,14,24,34,44,53,58,63,68,66,71,75,77,78,74,68,61,49,46,62,66,59,59,62,69,75,75,75,75,75,70,70,70,70
GNQ,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,4,4,8,11,15,75,75,76,76,77,79,80,81,81,39,41,43,44,46,48,50,52,54,55,57,59,39,30,30,24,17,20,27
ERI,BCG immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,40,60,68,75,83,96,98,89,91,94,97,99,99,99,99,99,98,98,97,97,97,97,97,97,97
ERI,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,88,88
ERI,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,,,,,,,,,5,20,17,27,36,41,77,80,82,83,83,84,84,85,85,86,86,93,93,94,94,94,94,94,99
ERI,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95
ERI,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,32,49,58,66,75,86,93,82,89,92,95,98,96,94,95,95,95,95,94,94,94,94,95,95,95
ERI,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,96,96,96
EST,BCG immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,98,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97,99,97,96,95,95,95,94
EST,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,89,84,94,96,97,98,98,96,97,96,95,95,94,92,93,92,92,91
EST,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,67,76,80,86,86,88,91,93,94,94,95,95,96,95,95,95,95,94,93,94,94,93,93,93,93
EST,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,64,85,87
SWZ,BCG immunization coverage among 1-year-olds (%),,59,66,72,73,79,91,94,95,96,96,71,97,98,99,99,85,85,86,87,88,89,90,91,92,93,94,95,96,97,98,98,99,99,99,98,97,98
SWZ,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,92,52,89,89,89,89,89
SWZ,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,,,,,63,63,84,80,80,79,77,76,80,79,79,80,80,81,81,82,82,85,85,86,86,86,86,86,86,88,88,88,88
SWZ,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,90,90,87
SWZ,Polio (Pol3) immunization coverage among 1-year-olds (%),,22,39,43,49,59,72,74,89,89,89,79,93,86,96,81,81,86,86,86,87,87,87,87,88,88,88,88,89,89,89,85,92,98,98,84,90,90
SWZ,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,95,86
ETH,BCG immunization coverage among 1-year-olds (%),,5,6,7,8,11,13,28,27,44,64,29,26,36,65,61,57,54,54,54,56,57,58,59,60,64,66,69,71,74,76,80,74,68,69,88,83,85
ETH,Neonates protected at birth against neonatal tetanus (PAB) (%),,2,2,4,4,5,7,9,13,27,24,17,17,20,25,34,39,51,42,48,54,60,67,71,77,80,82,83,84,88,88,88,68,72,80,80,80,93
ETH,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,30,48,55,68,69,68
ETH,Polio (Pol3) immunization coverage among 1-year-olds (%),3,3,3,4,4,6,7,16,16,26,49,21,13,28,57,65,73,83,70,57,55,55,55,55,54,56,59,61,63,65,69,70,70,70,68,78,74,76
ETH,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,79,80,80
FJI,BCG immunization coverage among 1-year-olds (%),95,98,98,99,94,99,96,98,99,99,99,99,98,99,99,99,99,95,95,96,96,97,97,97,98,98,99,99,99,99,99,99,99,99,99,99,99,99
FJI,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,74,94,94,94,94,94,94,94,94,94,94,94,94
FJI,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,,,,,,5,34,64,91,70,76,81,86,85,84,84,83,92,92,93,93,93,94,94,94,94,94,94,94,94,94,94,96
FJI,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,99,99,99,99
FJI,Polio (Pol3) immunization coverage among 1-year-olds (%),55,62,65,81,72,68,73,92,99,99,96,99,98,96,96,99,99,88,89,90,91,92,94,95,96,97,98,99,99,99,99,99,99,99,99,99,99,99
FJI,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,99,99,99,99
FIN,BCG immunization coverage among 1-year-olds (%),90,90,90,90,86,83,80,90,99,91,91,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,,,,,,,,,,,
FIN,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,92
FIN,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,92,92,92,92,92,87,85
FIN,Polio (Pol3) immunization coverage among 1-year-olds (%),90,90,78,78,84,89,95,97,99,90,90,97,99,99,98,99,99,95,95,95,96,95,95,96,96,97,97,97,97,99,99,99,99,98,98,97,92,89
FIN,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,93,93,93,92,91,84,80
FRA,BCG immunization coverage among 1-year-olds (%),80,80,81,81,96,82,84,76,75,75,74,78,77,79,81,83,82,82,81,83,83,84,85,84,85,81,83,78,,,,,,,,,,
FRA,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,67,72,75,77,79,80,80
FRA,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,89,89,89,89,91,92,92
FRA,Polio (Pol3) immunization coverage among 1-year-olds (%),80,80,86,92,97,97,97,89,81,84,95,95,95,95,97,97,97,97,97,98,98,98,97,96,99,98,99,99,99,98,99,99,99,99,98,97,96,96
GAB,BCG immunization coverage among 1-year-olds (%),,,82,80,77,80,90,95,95,96,96,97,97,97,94,90,90,90,90,89,89,90,90,91,91,92,92,92,93,93,94,94,97,92,91,98,94,93
GAB,Neonates protected at birth against neonatal tetanus (PAB) (%),,,,,,29,43,57,63,74,84,79,74,69,44,53,33,36,40,46,39,42,64,53,58,58,63,67,73,75,75,75,75,85,85,85,85,85
GAB,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,48,59,65,72,78,78,72,66,67,69,70,60,50,47,44,44,44,44,44,44,44,44,78,81,74,68,75,80,77,68,79,74,74
GMB,BCG immunization coverage among 1-year-olds (%),85,96,91,96,98,92,96,97,96,98,98,97,97,98,99,99,99,99,99,98,99,99,99,99,99,99,97,97,95,94,92,90,98,98,96,98,98,94
GMB,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,53,73,81,79,68
GMB,Neonates protected at birth against neonatal tetanus (PAB) (%),,76,80,83,84,85,81,77,82,83,85,84,83,89,85,92,92,91,94,91,92,90,94,94,94,89,94,90,91,91,91,91,92,82,92,92,92,92
GMB,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,95,98,96,96,97,95,90
GMB,Polio (Pol3) immunization coverage among 1-year-olds (%),53,66,76,70,78,62,67,80,88,92,94,94,94,96,97,98,97,99,91,83,84,85,86,87,88,94,94,94,96,97,97,95,98,96,97,96,95,92
GMB,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,92,97,95,93
GEO,BCG immunization coverage among 1-year-olds (%),,,,,,,,,,,,,67,30,30,70,70,76,94,95,95,94,91,87,91,95,95,96,95,95,96,96,95,95,96,96,98,96
GEO,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,8,40,57,75,87,88,92,87,71,84,77,79,89,87,91,85,90
GEO,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,75,80
GEO,Polio (Pol3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,68,82,82,82,82,81,80,82,81,83,89,74,66,82,89,88,90,93,88,88,93,94,91,91,92,91
GEO,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,69,72,75,76
DEU,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,77,83,89,91,90,92,92,93,93,93,93,93,93,93,93,93
DEU,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,85,86,84,84,84,84,84,84,84
DEU,Polio (Pol3) immunization coverage among 1-year-olds (%),80,95,95,94,90,85,90,80,80,80,80,80,80,95,95,95,95,95,94,94,94,96,97,96,96,95,94,95,95,95,94,94,94,94,94,94,94,94
DEU,Rotavirus vaccines completed dose (RotaC) immunization coverage among 1-year-olds (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,68,68,68
GHA,BCG immunization coverage among 1-year-olds (%),,,,31,41,41,55,69,70,70,71,77,83,85,86,87,87,88,90,98,99,94,92,92,92,99,99,99,99,99,99,98,98,98,99,97,94,99
GHA,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,54,67,63,75,83
